culture,snippet,type,translation,status_signal,notes
Modern Orthodox Jewish,Washington Heights,lifestyle marker,Manhattan MO community — historically German-Jewish,Signals Yeshiva University-adjacent traditional MO,Specific community
Modern Orthodox Jewish,Sharon Massachusetts,lifestyle marker,Boston suburb with MO community,Signals Boston-area MO professional class,Specific community
Modern Orthodox Jewish,Ramaz,lifestyle marker,Specific Manhattan day school — Upper East Side elite,Signals Manhattan elite MO often professional-class wealthy families,Major specific identifier
Modern Orthodox Jewish,Heschel,lifestyle marker,Specific Manhattan day school — more pluralist,Signals more liberal Manhattan Jewish family,Specific identifier
Modern Orthodox Jewish,Frisch,lifestyle marker,Specific Bergen County day school,Signals Bergen County mainstream MO,Major specific identifier
Modern Orthodox Jewish,Flatbush,lifestyle marker,Specific Brooklyn day school — Yeshiva of Flatbush,Signals more traditional Brooklyn MO,Specific identifier
Modern Orthodox Jewish,SAR,lifestyle marker,Specific Riverdale day school,Signals Riverdale liberal MO,Specific identifier
Modern Orthodox Jewish,Maimonides,lifestyle marker,Specific Boston day school,Signals Boston intellectual MO,Specific identifier
Modern Orthodox Jewish,HAFTR,lifestyle marker,Specific Five Towns day school,Signals Five Towns mainstream MO,Specific identifier
Modern Orthodox Jewish,Gush / Yeshivat Har Etzion,lifestyle marker,Specific Israeli yeshiva for men's gap year,Signals centrist-to-liberal MO intellectual orientation,Major year-in-Israel signal
Modern Orthodox Jewish,Sha'alvim,lifestyle marker,Specific Israeli yeshiva for men's gap year,Signals more right-leaning MO,Specific identifier
Modern Orthodox Jewish,Reishit,lifestyle marker,Specific Israeli yeshiva for men's gap year,Signals specific MO orientation,Specific identifier
Modern Orthodox Jewish,Michlala,lifestyle marker,Specific Israeli seminary for women's gap year,Signals right-wing MO seminary for women,Specific identifier
Modern Orthodox Jewish,Migdal Oz,lifestyle marker,Specific Israeli seminary for women,Signals right-wing intellectual MO seminary,Specific identifier
Modern Orthodox Jewish,Maayanot,lifestyle marker,Specific Israeli seminary for women,Signals centrist MO seminary,Specific identifier
Modern Orthodox Jewish,Drisha,lifestyle marker,More progressive Jewish learning institution,Signals more liberal-academic MO,Specific identifier
Modern Orthodox Jewish,Pardes,lifestyle marker,Pluralistic Jewish learning institution,Signals more liberal-egalitarian Jewish orientation,Specific identifier
Modern Orthodox Jewish,Frum,vocabulary,Religiously observant,Standard MO self-description,Yiddish-derived insider term
Modern Orthodox Jewish,Shomer shabbat,vocabulary,Keeps Sabbath,Basic Orthodox commitment marker,Foundational observance
Modern Orthodox Jewish,Shomer kashrut,vocabulary,Keeps kosher,Basic Orthodox commitment marker,Foundational observance
Modern Orthodox Jewish,Shomer negiah,vocabulary,Doesn't have physical contact with opposite sex outside marriage,Stricter physical-contact restrictions; signals more religious,Tests specific commitment level
Modern Orthodox Jewish,Davening,vocabulary,Praying — specifically the formal prayer services,Standard insider term for prayer,Common vocabulary
Modern Orthodox Jewish,Shul,vocabulary,Synagogue,Standard insider term,Common vocabulary
Modern Orthodox Jewish,Shidduch,vocabulary,Matchmaking; the dating process arranged by community matchmakers,Standard MO marriage process,Specific marriage-process category
Modern Orthodox Jewish,Shadchan,vocabulary,Matchmaker,Specific community role,Standard marriage infrastructure
Modern Orthodox Jewish,Chavrusa,vocabulary,Torah study partner,Standard MO men's practice,Specific religious practice
Modern Orthodox Jewish,Yeshiva,vocabulary,Religious educational institution for men,Standard term — specific yeshiva signals specific orientation,Major identity-formation institution
Modern Orthodox Jewish,Seminary,vocabulary,Religious educational institution for women,Standard term — specific seminary signals specific orientation,Major identity-formation institution
Modern Orthodox Jewish,Halacha,vocabulary,Jewish religious law,Standard term — invoked in decision-making,Foundational reference
Modern Orthodox Jewish,Psak,vocabulary,Rabbinic ruling on a halachic question,Signals deference to rabbinic authority,Decision-making framework
Modern Orthodox Jewish,Machatunim,vocabulary,In-laws (specifically parents of one's child's spouse),Yiddish-derived; specific MO term,Family-relationship vocabulary
Modern Orthodox Jewish,Mensch,vocabulary,A decent good person — heavy moral approval,Standard term of approval,Cultural-cultural praise
Modern Orthodox Jewish,Yichus,vocabulary,Family lineage; ancestral religious-scholarly pedigree,Major status currency in marriage decisions,Family-history marker
Modern Orthodox Jewish,Sheitel,vocabulary,Wig worn by married Orthodox women,Signals married + observant; quality and style signal class and sub-community,Major visible identity marker
Modern Orthodox Jewish,Tichel,vocabulary,Headscarf worn by married women,Can signal more right-wing or more hippie-MO depending on style,Specific hair-covering choice
Modern Orthodox Jewish,Snood,vocabulary,Specific knit hair-covering,Signals more yeshivish-influenced,Specific hair-covering signal
Modern Orthodox Jewish,Cover her hair,phrase about a woman,She wears a sheitel tichel snood or hat after marriage,Married + observant signal; specific covering tells more,Major visible identity marker
Modern Orthodox Jewish,Skirts only / no pants,lifestyle marker,Woman wears only skirts and dresses,Signals stricter MO or yeshivish-leaning,Specific dress code
Modern Orthodox Jewish,Sleeves to the elbow / skirts to the knee,lifestyle marker,Specific tznius (modesty) dress code,Signals serious modesty commitment,Specific dress code
Modern Orthodox Jewish,Tznius / tznius rules,vocabulary,Modesty in dress and behavior — specifically for women,Tells you how strict her dress code is,Major MO women's category
Modern Orthodox Jewish,Glatt kosher,lifestyle marker,Stricter standard for meat,Signals more religious commitment,Specific kashrut stringency
Modern Orthodox Jewish,Cholov yisroel,lifestyle marker,Stricter dairy supervision standard,Signals significantly more religious commitment,Specific kashrut stringency
Modern Orthodox Jewish,Pas yisroel,lifestyle marker,Stricter bread supervision standard,Signals even higher stringency,Specific kashrut stringency
Modern Orthodox Jewish,OU / Star-K / heksher,lifestyle marker,Specific kosher certifying agencies,Tells you which kosher certifications he accepts,Standard kashrut infrastructure
Modern Orthodox Jewish,Building a Jewish home / bayis ne'eman,phrase,Married life as religious project of establishing a household with religious continuity,Standard MO wedding-and-marriage language,Major religious framing
Modern Orthodox Jewish,Eishet chayil / woman of valor,phrase,Idealized wife from Proverbs 31 — recited weekly Friday night,Standard MO praise framing of wives,Major religious framing
Modern Orthodox Jewish,He learns,phrase about a man,He studies Torah seriously — signaling masculine virtue,Major masculine-status signal in MO,Tells you he's committed to Torah study
Modern Orthodox Jewish,He's a serious learner,phrase about a man,He studies Torah seriously,Major masculine virtue signal,Specific approval
Modern Orthodox Jewish,She works to support his learning,phrase about a couple,Wife works so husband can study Torah full-time,More yeshivish than MO; in MO it's rare and elite,Specific economic arrangement
Modern Orthodox Jewish,He's a real mensch,phrase about a man,He's a decent good person — moral approval,Major character endorsement,Standard approval
Modern Orthodox Jewish,They're from a good family,phrase about a family,Their parents are respected have status the marriage carries good yichus,Major status signal,Family-standing approval
Modern Orthodox Jewish,He's well-connected,phrase about a man,His family network has standing in the community,Family-network status signal,Specific approval
Modern Orthodox Jewish,She married well,phrase about a woman,Her husband's family has status and resources,Major status signal,Marriage-as-class-acquisition framing
Modern Orthodox Jewish,He married well,phrase about a man,His wife's family has status and resources,Same as above,Marriage-as-class-acquisition framing
Modern Orthodox Jewish,She's frum but not too frum,phrase about a woman,She's religiously observant but not extreme — fits in normal MO community,Mainstream-MO approval,Specific community-fit signal
Modern Orthodox Jewish,They're modern,phrase about a family,They're MO not Haredi/yeshivish,Community-positioning signal,Distinguishes from more strict communities
Modern Orthodox Jewish,She's modern,phrase about a woman (disapproving),She's too liberal in dress or behavior for the speaker's standards,Disapproval framing,Same word different valence
Modern Orthodox Jewish,She's machmir on...,phrase about a woman,She's strict about a specific religious area,Signals religious seriousness in specific domain,Specific stringency marker
Modern Orthodox Jewish,He's machmir on...,phrase about a man,He's strict about a specific religious area,Same as above,Specific stringency marker
Modern Orthodox Jewish,That's not the way we do things,phrase,He's invoking community norms to override individual preference,Standard community-norm enforcement,Common pattern
Modern Orthodox Jewish,It's a chillul Hashem,phrase,He's saying an action profanes God's name — usually to police behavior that embarrasses the community publicly,Heavy religious-community accusation,Public-image protection deployment
Modern Orthodox Jewish,Go to the rav,phrase,He's redirecting decision to rabbinic authority,Defers to formal religious authority,Decision-deflection move
Modern Orthodox Jewish,They're off the derech,phrase about people,They've left religious observance — family grief vocabulary,Standard category for non-observant former community members,Family-grief framing
Modern Orthodox Jewish,We summer in Israel,lifestyle marker,Family vacations in Israel each summer,Signals Zionist commitment and resources to travel,Specific lifestyle
Modern Orthodox Jewish,Florida (Hollywood / Boca / Aventura),lifestyle marker,Specific Florida winter destinations for MO,Signals winter retreat patterns common in MO,Specific lifestyle
Modern Orthodox Jewish,Kosher cruise,lifestyle marker,Specific cruise with kosher catering,Signals observance plus leisure resources,Specific vacation type
Modern Orthodox Jewish,Camp Morasha / Camp Stone / Camp Mesorah,lifestyle marker,Specific MO summer camps,Each signals different sub-community,Childhood-formation marker
Modern Orthodox Jewish,Country club membership,lifestyle marker,MO families belong to specific clubs,Signals wealth and social standing,Class marker
Modern Orthodox Jewish,B'sha'a tova,phrase,Pregnancy congratulation — 'at a good hour',Specific in-group phrase for pregnancy,Cultural insider phrase
Modern Orthodox Jewish,Mazal tov,phrase,Congratulations,Standard celebration phrase,Widely known
Modern Orthodox Jewish,Im yirtzeh Hashem / IY'H,phrase,God willing,Standard religious phrase showing dependence on divine will,Common phrase
Modern Orthodox Jewish,B'ezrat Hashem,phrase,With God's help,Same as above — standard religious framing,Common phrase
Modern Orthodox Jewish,Baruch Hashem,phrase,Thank God / Blessed be God,Standard religious response,Common phrase
Modern Orthodox Jewish,Who are your machatunim?,question,Who are your child's spouse's parents — major family-standing probe,Tests in-law family status,Specific status probe
Modern Orthodox Jewish,Where do your in-laws live?,question,He's checking in-law location and class,In-law neighborhood signals their class,Standard probe
Modern Orthodox Jewish,What does your father-in-law do?,question,He's checking in-law profession and class,In-law profession signals their class,Standard probe
Modern Orthodox Jewish,Did you grow up frum?,question,Were you raised observant — FFB vs. BT distinction,FFB or BT signals different background,Standard probe
Modern Orthodox Jewish,She's a real bas Yisroel,phrase about a woman,A real daughter of Israel — high praise for religious-traditional woman,Major religious-traditional approval,Standard approval phrase
Modern Orthodox Jewish,He's a real ben Torah,phrase about a man,A real son of Torah — high praise for religiously serious man,Major religious approval,Standard approval phrase
Modern Orthodox Jewish,Her parents are very respected,phrase about a woman,Her parents have community standing,Family-standing approval,Standard probe-result
Modern Orthodox Jewish,He's from a good family,phrase about a man,His parents have community standing,Family-standing approval,Standard probe-result
Modern Orthodox Jewish,She covers her hair,phrase about a woman,She's married and observant — wears sheitel tichel snood or hat,Major married-observant signal,Specific community membership
Modern Orthodox Jewish,They're shomer negiah,phrase about a couple,They don't have premarital physical contact,Signals premarital sexual discipline,Specific religious commitment
Conservative Sunni Muslim,Where are your parents from?,question,He's asking which country your family is from — each carries political and class associations,Saudi signals high oil-money status and often most conservative; Egyptian signals large established diaspora; Palestinian signals specific political identity often with refugee history; Syrian signals more recent refugee; Yemeni signals working-class diaspora,Country of origin is major identity signal
Conservative Sunni Muslim,How religious is the family?,question,He's asking about your family's observance level which varies enormously even within practicing families,Practice level signals what your home was like growing up,Standard probe
Conservative Sunni Muslim,Do you pray?,question,He's asking whether you do the five daily prayers — the basic bar for being practicing,Five-daily-prayer signals practicing Muslim,Foundational probe
Conservative Sunni Muslim,Do you cover?,question,Asked of women — he's checking whether you wear hijab,Hijab signals religious commitment level,Major visible identity probe
Conservative Sunni Muslim,How long have you been practicing?,question,He's asking whether you were born Muslim or became more observant later,Born-Muslim vs revert/born-again signals different background,Standard identity probe
Conservative Sunni Muslim,Who do you study with?,question,He's asking which Islamic scholars you follow — signals your theological orientation,Salafi orientation vs traditional Sunni vs Sufi-influenced are different paths,Major theological identification
Conservative Sunni Muslim,What masjid do you go to?,question,He's asking which mosque you attend — specific masjids signal specific communities,Some masjids are conservative-Salafi; some are more cultural; some are more progressive,Major community-identification probe
Conservative Sunni Muslim,Did you do umrah?,question,He's asking whether you've made the lesser pilgrimage to Mecca,Umrah signals religious accomplishment and family resources to travel,Pilgrimage-status probe
Conservative Sunni Muslim,Did you do hajj?,question,He's asking whether you've completed the major pilgrimage to Mecca,Hajj is a major religious accomplishment,Major religious-status probe
Conservative Sunni Muslim,When did you start praying?,question,He's asking when you became practicing,Tests recent vs lifelong observance,Standard probe
Conservative Sunni Muslim,When did you start covering?,question,Asked of women — when did you commit to wearing hijab,Recent vs lifelong covering signals different paths,Specific probe
Conservative Sunni Muslim,Saudi,lifestyle marker,Family from Saudi Arabia,Signals high oil-money status and often most conservative religious orientation,Specific country signal
Conservative Sunni Muslim,Egyptian,lifestyle marker,Family from Egypt,Signals large established US diaspora — broad range of class and religion,Common diaspora
Conservative Sunni Muslim,Palestinian,lifestyle marker,Family with Palestinian identity,Signals specific political identity often with refugee history,Specific political identity
Conservative Sunni Muslim,Syrian,lifestyle marker,Family from Syria — often more recent refugee,Signals more recent migration often with specific war-related history,Often recent immigration
Conservative Sunni Muslim,Yemeni,lifestyle marker,Family from Yemen,Often signals working-class diaspora particularly in specific US cities,Specific class associations
Conservative Sunni Muslim,Five daily prayers / Salah,lifestyle marker,He prays five times a day — basic observance,Foundational practice for being considered practicing,Standard observance
Conservative Sunni Muslim,Praying Jummah,lifestyle marker,He attends Friday congregational prayer,Standard practicing-Muslim marker,Foundational community engagement
Conservative Sunni Muslim,Hijab,lifestyle marker,She wears headscarf covering hair,Religious-commitment marker; style signals exact orientation,Major visible identity
Conservative Sunni Muslim,Niqab,lifestyle marker,She wears face-veil in addition to hijab,Signals more conservative religious orientation,Stricter observance
Conservative Sunni Muslim,Abaya,lifestyle marker,She wears loose full-body robe,Often Saudi-cultural or more conservative,Specific dress code
Conservative Sunni Muslim,Jilbab,lifestyle marker,She wears specific full-coverage outer garment,Signals modesty commitment,Specific dress code
Conservative Sunni Muslim,Sunnah beard,lifestyle marker,His beard without mustache trimmed in specific style following the Prophet's example,Signals strict religious commitment,Specific visible signal
Conservative Sunni Muslim,Fasting beyond Ramadan,lifestyle marker,He fasts voluntarily on Mondays and Thursdays or other days,Signals extra religious commitment beyond required,Stricter observance
Conservative Sunni Muslim,Voluntary umrah,lifestyle marker,He's made multiple lesser pilgrimages beyond required,Religious-accomplishment and family-resources signal,Pilgrimage as identity
Conservative Sunni Muslim,Deen,vocabulary,The religion — used as my deen meaning my religious practice and life,Standard insider term,Foundational vocabulary
Conservative Sunni Muslim,Deen-conscious,vocabulary,He prioritizes religion in his decisions,Identity-level commitment claim,Common self-description
Conservative Sunni Muslim,On her deen / on his deen,phrase,She or he is serious about religious practice,Standard approval phrase,Community-recognition language
Conservative Sunni Muslim,Ummah,vocabulary,The global Muslim community,Standard identity-community vocabulary,Foundational concept
Conservative Sunni Muslim,Halal,vocabulary,Religiously permitted — applies to food behavior and relationships,Foundational concept,Standard term
Conservative Sunni Muslim,Haram,vocabulary,Religiously forbidden,Foundational concept,Standard term
Conservative Sunni Muslim,Mahram,vocabulary,Male relative a woman doesn't have to cover around — father brother son husband,Specific Islamic legal category,Family-structure vocabulary
Conservative Sunni Muslim,Fitnah,vocabulary,Temptation discord or chaos — often deployed about women's autonomy or sexuality,Heavy term used against female public presence,Often weaponized against women
Conservative Sunni Muslim,Wali,vocabulary,Female's male guardian who approves her marriage,Standard traditional marriage structure,Major marriage-process role
Conservative Sunni Muslim,Mahr,vocabulary,The bridal gift specified at the marriage contract,Standard religious marriage element,Marriage-process element
Conservative Sunni Muslim,Nikah,vocabulary,Islamic marriage contract,Foundational religious marriage,Standard term
Conservative Sunni Muslim,Walima,vocabulary,The wedding feast following the nikah,Standard religious wedding element,Marriage-process element
Conservative Sunni Muslim,Hifz,vocabulary,Memorization of the Quran,Major religious accomplishment,Status marker
Conservative Sunni Muslim,Hafiz,vocabulary,Someone who has memorized the Quran,Very high religious status for men also respected for women,Major status marker
Conservative Sunni Muslim,Sheikh,vocabulary,Islamic scholar or community leader,Major religious-authority marker,Status marker
Conservative Sunni Muslim,Imam,vocabulary,Prayer leader at a mosque — often community leader,Major community role,Standard community position
Conservative Sunni Muslim,Halaqah,vocabulary,Study circle for religious learning,Standard community-formation activity,Religious-formation marker
Conservative Sunni Muslim,MSA,vocabulary,Muslim Students Association at colleges,Signals being plugged into Muslim community early,Specific community-formation marker
Conservative Sunni Muslim,ICNA / ISNA,vocabulary,Major Muslim American organizations and conferences,Plugged into Muslim community networks,Specific community engagement
Conservative Sunni Muslim,AlMaghrib,vocabulary,Islamic education institute,Signals plugged into Muslim education infrastructure,Specific community engagement
Conservative Sunni Muslim,Convert / revert,vocabulary,Convert is someone who became Muslim; revert is the in-group term reflecting belief everyone is born Muslim,Specific identity category,Born-Muslim vs convert distinction
Conservative Sunni Muslim,She's a good Muslimah,phrase about a woman,She's religiously serious modest and family-oriented,Major approval phrase,Standard community approval
Conservative Sunni Muslim,He's practicing,phrase about a man,He's actually observant not just culturally Muslim,Practice-level distinction,Standard description
Conservative Sunni Muslim,He's deen-conscious,phrase about a man,He prioritizes religion in his decisions,Identity-level commitment claim,Common community description
Conservative Sunni Muslim,She's on her deen,phrase about a woman,She's serious about religious practice,Community-recognition language,Standard approval
Conservative Sunni Muslim,He's looking for someone deen-conscious,phrase,He wants a religiously serious wife,Marriage-criterion signal,Standard dating expectation
Conservative Sunni Muslim,My parents are looking for me,phrase,Family is involved in finding a spouse — traditional marriage process,Traditional family-involved marriage signal,Standard marriage process
Conservative Sunni Muslim,We're getting to know each other for marriage,phrase,Halal courtship with explicit marriage trajectory and no premarital physical relationship,Standard religious-courtship framing,Specific dating structure
Conservative Sunni Muslim,She's from a good family,phrase about a woman,Her family has religious and social standing,Family-standing approval,Standard probe-result
Conservative Sunni Muslim,Her father is a respected man,phrase,Family carries community weight,Family-standing signal,Specific approval
Conservative Sunni Muslim,He's a hafiz,phrase about a man,He's memorized the Quran — very high religious status,Major status marker,Standard major-status phrase
Conservative Sunni Muslim,He's studying to be a sheikh,phrase about a man,He's training in Islamic scholarship,Major religious-vocation signal,Standard high-status track
Conservative Sunni Muslim,Her wali approved,phrase about a woman,Her male guardian has approved the marriage process — traditional structure,Traditional process signal,Standard marriage-protocol language
Conservative Sunni Muslim,That's not appropriate,phrase,He's invoking religious or cultural prohibition,Standard community-norm enforcement,Often used to police behavior
Conservative Sunni Muslim,What will the community say?,phrase,Community surveillance is real and he's invoking it as control,Standard community-pressure framing,Common social control
Conservative Sunni Muslim,In sha Allah,phrase,God willing — can be sincere acceptance polite deferral or evasion depending on tone,Tone-dependent meaning,Standard phrase with multiple uses
Conservative Sunni Muslim,Ma sha Allah,phrase,Whatever God wills — praise of something good often with envy-deflection,Standard praise phrase,Common usage
Conservative Sunni Muslim,Alhamdulillah,phrase,Praise be to God — gratitude marker,Standard religious expression,Common phrase
Conservative Sunni Muslim,Astaghfirullah,phrase,I seek forgiveness from God — used as exclamation when something bad happens,Standard religious expression,Common phrase
Conservative Sunni Muslim,Jazakallah khair,phrase,May God reward you with good — religious thanks,Standard religious expression,Common phrase
Conservative Sunni Muslim,Barakallah feek,phrase,May God bless you — religious blessing,Standard religious expression,Common phrase
Conservative Sunni Muslim,Marriage as half of deen,phrase,Marriage is religiously framed as completing half of one's religious life,Standard religious framing of marriage,Major framing
Conservative Sunni Muslim,This life is a test,phrase,Earthly life is a religious examination — used to dignify suffering,Standard religious framing,Can be used to demand endurance of hardship
Conservative Sunni Muslim,The akhirah is what matters,phrase,The hereafter is what matters not this world,Religious framing that can deprioritize partner's worldly complaints,Common deflection language
Conservative Sunni Muslim,I'm just looking for fitnah-free interactions,phrase,He doesn't want temptation or discord — often framed as avoiding women,Often used to limit female interaction,Specific community framing
Conservative Sunni Muslim,Marrying within the deen,phrase,Marrying another practicing Muslim,Standard expectation,Major marriage-criterion
Conservative Sunni Muslim,Marrying within the community,phrase,Marrying someone from same cultural/national background,Common preference layered on religious requirement,Standard expectation
Conservative Sunni Muslim,He's a doctor,phrase about a man,Most-respected profession in Muslim immigrant communities,Major status marker,Standard high-status profession
Conservative Sunni Muslim,He's an engineer,phrase about a man,Second-most-respected profession,Major status marker,Standard high-status profession
Conservative Sunni Muslim,He's a lawyer,phrase about a man,Respected profession,Status marker,Standard high-status profession
Conservative Sunni Muslim,He's an imam,phrase about a man,Religious community leader,Highly respected religious vocation,Major religious status
South Asian,Where are your parents from?,question,He's asking country state and city — each signals dramatically different things,North India vs South India is huge difference; Punjab signals one thing Tamil Nadu another; Lahore signals Pakistani; Mumbai cosmopolitan Indian; Dhaka Bangladeshi,Major regional-identity probe
South Asian,What's your last name?,question,He's asking your surname — caste region and religion are all encoded in last names,Patel signals Gujarati often merchant caste; Sharma signals Brahmin; Singh signals Sikh or Rajput; Khan signals Muslim; Banerjee signals Bengali Brahmin,Surname carries enormous identity information
South Asian,What does your father do?,question,He's asking about your father's profession — major class signal,Doctor engineer businessman are most common high-status answers,Standard class probe
South Asian,What did you study?,question,He's asking your degree — STEM acceptable humanities loaded,Medicine engineering law computer science are the acceptable canon,Major status probe
South Asian,Where did you study?,question,He's asking which college or university specifically,IIT IIM AIIMS signal Indian elite; US Ivy League signals immigration achievement,Major education probe
South Asian,When did your family come?,question,He's asking about your migration generation,1965-act first-wave signals different from H1B 1990s wave from current migration,Migration-history probe
South Asian,Are your parents still together?,question,He's checking intact-family status — divorce is loaded in South Asian families,Intact families have higher status,Family-stability probe
South Asian,Are you vegetarian?,question,He's asking about your diet which signals caste region and religion,Strict vegetarianism often signals Brahmin Jain or specific community,Diet as identity signal
South Asian,Do you eat beef?,question,Hindus generally don't even if non-practicing — eating beef signals more assimilated or non-Hindu,Major religious-cultural probe,Diet as religious identity
South Asian,Do you eat pork?,question,Muslims don't — eating pork signals non-Muslim or non-practicing,Religious-identity probe,Diet as religious identity
South Asian,Do you speak Hindi?,question,He's asking about language — signals specific regional community,Hindi/Urdu/Punjabi/Gujarati/Bengali/Tamil each signal different regional community,Major regional probe
South Asian,Are you Punjabi?,question,Direct regional identification probe,Each region carries distinct cultural complexes,Regional-identity probe
South Asian,Where in India are you from?,question,He's asking state-level identity which matters intensely,State-level identity often determines food language tradition,Major identity probe
South Asian,Did your parents have an arranged marriage?,question,He's asking about family approach to marriage,Arranged signals more traditional; semi-arranged middle ground; love marriage more modern,Marriage-process probe
South Asian,How did you meet your husband?,question,He's asking whether arrangement was traditional,Family-arranged signals traditional; family-introduced middle; organic more modern,Marriage-process probe
South Asian,Are your in-laws nearby?,question,He's checking joint-family structure,Living with in-laws signals traditional patrilocal; nuclear signals modern,Family-structure probe
South Asian,Punjabi,lifestyle marker,Family from Punjab (India or Pakistan),Carries reputation for outgoing-energy; often Sikh or Hindu; diaspora-prominent,Specific regional identity
South Asian,Gujarati,lifestyle marker,Family from Gujarat,Carries reputation for business community; often merchant tradition,Specific regional identity
South Asian,Bengali,lifestyle marker,Family from Bengal (India or Bangladesh),Carries reputation for intellectual literary tradition,Specific regional identity
South Asian,South Indian,lifestyle marker,Family from Tamil Nadu Kerala Karnataka or Andhra,Carries reputation for education focus and engineering tradition,Specific regional identity
South Asian,Tamil,lifestyle marker,Family from Tamil Nadu or Sri Lankan Tamil background,Specific South Indian community,Specific regional identity
South Asian,Marathi,lifestyle marker,Family from Maharashtra,Specific middle-India community,Specific regional identity
South Asian,Hyderabadi,lifestyle marker,Family from Hyderabad — distinct identity mixing Muslim and Telugu heritage,Specific community with distinct identity,Specific regional identity
South Asian,Sindhi,lifestyle marker,Family with Sindhi heritage — often post-Partition migration,Specific community,Specific regional identity
South Asian,Lahore,lifestyle marker,Pakistani family — major Pakistani city of origin,Pakistani cultural cosmopolitan often well-established,Pakistani-specific signal
South Asian,Karachi,lifestyle marker,Pakistani family — Karachi is largest city,Pakistani — broad range of class and background,Pakistani-specific signal
South Asian,Dhaka,lifestyle marker,Bangladeshi family,Bangladeshi cultural identity distinct from Pakistani or Indian,Bangladeshi-specific signal
South Asian,Hindu,lifestyle marker,He practices Hinduism — major identity-and-cultural complex,Religious identity often paired with regional identity,Foundational identity
South Asian,Muslim,lifestyle marker,He practices Islam,Religious identity overlapping with Pakistani/Bangladeshi/Indian Muslim background,Foundational identity
South Asian,Sikh,lifestyle marker,He practices Sikhism — usually Punjabi background,Specific religious-cultural identity,Foundational identity
South Asian,Jain,lifestyle marker,He practices Jainism — usually Gujarati background; strict vegetarianism,Specific religious-cultural identity,Diet often diagnostic
South Asian,Christian,lifestyle marker,He's South Asian Christian — Kerala Goa or specific minority,Specific minority within South Asian context,Specific religious identity
South Asian,Brahmin,lifestyle marker,He's from priestly/scholarly caste background,Carries stereotype (which insiders use) of priestly/scholarly background often vegetarian; often light-skinned in family stereotypes,Caste is officially denied but operates
South Asian,Patel,lifestyle marker,Gujarati surname signaling merchant/trading caste,Signals merchant/trading tradition often successful immigrant business,Specific caste-and-region signal
South Asian,Bania,lifestyle marker,Merchant caste designation,Signals merchant/trading tradition,Specific caste identity
South Asian,Rajput,lifestyle marker,Warrior caste designation,Signals warrior tradition often Punjabi or Rajasthani,Specific caste identity
South Asian,Dalit,lifestyle marker,Historically oppressed caste — rarely volunteered,Signals having to navigate caste discrimination,Specific caste identity
South Asian,IIT,lifestyle marker,Indian Institute of Technology — elite engineering schools,Major prestige signal — engineering elite,Specific elite institution
South Asian,IIM,lifestyle marker,Indian Institute of Management — elite business schools,Major prestige signal — business elite,Specific elite institution
South Asian,AIIMS,lifestyle marker,All India Institute of Medical Sciences — elite medical schools,Major prestige signal — medical elite,Specific elite institution
South Asian,St. Stephen's,lifestyle marker,Elite Delhi college,Major prestige signal,Specific elite institution
South Asian,LSR / Lady Shri Ram,lifestyle marker,Elite Delhi women's college,Major prestige signal for women's education,Specific elite institution
South Asian,Convent school,lifestyle marker,Indian Christian-mission school often elite,Signals English-medium education upper-middle-class background,Specific class marker
South Asian,Big fat Indian wedding,lifestyle marker,Multi-day wedding with many events and many guests,Standard family-wealth display,Specific cultural framing
South Asian,Mehndi,lifestyle marker,Pre-wedding henna ceremony,Standard wedding event,Wedding-process element
South Asian,Sangeet,lifestyle marker,Pre-wedding music and dance event,Standard wedding event,Wedding-process element
South Asian,Haldi,lifestyle marker,Pre-wedding turmeric ceremony,Standard wedding event,Wedding-process element
South Asian,Baraat,lifestyle marker,Groom's procession to the wedding venue,Standard wedding event,Wedding-process element
South Asian,Destination wedding in Goa or Udaipur,lifestyle marker,Specific high-status destination wedding locations,Signals modern wealth and fashion-forward,Major wealth display
South Asian,Heavy gold,status signal,Significant gold jewelry at wedding,Signals traditional family wealth,Major wealth display
South Asian,Designer lehenga,status signal,Designer bridal outfit,Signals new money / fashion-forward,Specific wealth signal
South Asian,Dowry / jahez,vocabulary,Wealth from bride's family to groom — officially illegal in India but operating,Standard traditional structure though denied,Specific marriage-process element
South Asian,Joint family,vocabulary,Multi-generational household structure,Traditional family arrangement,Major family-structure signal
South Asian,Saas,vocabulary,Mother-in-law (Hindi),Specific in-law category,Family-structure vocabulary
South Asian,Saasur,vocabulary,Father-in-law (Hindi),Specific in-law category,Family-structure vocabulary
South Asian,Devar / jeth,vocabulary,Husband's younger or older brother — specific in-law categories,Specific in-law categories,Family-structure vocabulary
South Asian,Nanad,vocabulary,Husband's sister,Specific in-law category,Family-structure vocabulary
South Asian,Bahu / daughter-in-law,vocabulary,Wife's role in husband's family,Major role-category in traditional family,Family-structure vocabulary
South Asian,Rishta,vocabulary,Marriage proposal or marriage prospect,Standard traditional marriage process,Marriage-process vocabulary
South Asian,Rishta aunty,vocabulary,Community matchmaker — usually older woman who arranges marriages,Specific community role,Marriage-process role
South Asian,Looking for a rishta,phrase,Family is actively seeking marriage prospects,Traditional marriage process active,Standard family activity
South Asian,Arranged marriage,vocabulary,Marriage facilitated by families,Traditional marriage structure,Major marriage-process category
South Asian,Semi-arranged,vocabulary,Family-introduced but couple chooses,Middle-ground modern adaptation,Marriage-process category
